"By Default, it shows 10 search results. Learn more.","By Default, it shows 10 search results. Learn more."
"Display product thumbnail. Learn more.","Display product thumbnail. Learn more."
"Show price in search result. Learn more.","Show price in search result. Learn more."
"After Product Save","After Product Save"
"Create New Query","Create New Query"
"Cron job","Cron job"
"Delete","Delete"
"Delete ","Delete "
"Delete Query","Delete Query"
"Display Image","Display Image"
"Display Price","Display Price"
"Edit","Edit"
"Edit Query ","Edit Query "
"General","General"
"Limit number of characters in description section","Limit number of characters in description section"
"Mageplaza","Mageplaza"
"Maximum Number of Search Results","Maximum Number of Search Results"
"Name","Name"
"New Query","New Query"
"Queries","Queries"
"Query","Query"
"Query Information","Query Information"
"Reindex Search database","Reindex Search database"
"Results","Results"
"Save Query","Save Query"
"Save and Continue Edit","Save and Continue Edit"
"Search","Search"
"Search Plus","Search Plus"
"This Query no longer exists.","This Query no longer exists."
