"Amount","Amount"
"Country","Country"
"Weight* (From)","Weight* (From)"
"Weight* (To)","Weight*(To)"
"Free from**","Free from**"
"*In Kgs<br />**Subtotal incl. tax with discount","*In Kgs<br />**Subtotal incl. tax with discount"
"Add","Add"
"Mondial Relay ""WSI3_PointRelais_Recherche"" error with code %1","Mondial Relay ""WSI3_PointRelais_Recherche"" error with code %1"
"Unable to load pickup now, please select another shipping method","Unable to load pickup now, please select another shipping method"
"%1 field is required","%1 field is required"
"Address is a pickup location, it was partially updated.","Address is a pickup location, it was partially updated."
"Shipping &amp; Handling Information","Shipping &amp; Handling Information"
"Track Order","Track Order"
"Incl. Tax","Incl. Tax"
"Mondial Relay code: %1","Mondial Relay code: %1"
"Pickup identifier: %1","Pickup identifier: %1"
"Shipping Country: %1","Shipping Country: %1"
"No shipping information available","No shipping information available"
"Pickup location","Pickup location"
"Pickup location:","Pickup location:"
"Postcode","Postcode"
"Update","Update"
"Address:","Address:"
"Opening:","Opening:"
"Monday","Monday"
"Closed","Closed"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"
"Closure:","Closure:"
"From","From"
"to","to"
"Close","Close"
"Back","Back"
"Next","Next"
"No pickup was found near the specified address","No pickup was found near the specified address"
"Field ","Field "
" is required."," is required."
"Loading...","Loading..."
"Please select pickup","Please select pickup"
"Mondial Relay","Mondial Relay"
"Enabled","Enabled"
"Title","Title"
"Sort Order","Sort Order"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","Displayed Error Message"
"Confort","Confort"
"Name","Name"
"Price","Price"
"Ship to Specific Countries","Ship to Specific Countries"
"Point Relais","Point Relais"
"API Company","API Company"
"API Reference","API Reference"
"API Key","API Key"
"Google Map API Key","Google Map API Key"
"Premium","Premium"
"Standard,"Standard"
"Mondial Relay Information","Mondial Relay Information"
"Shipping Data","Shipping Data"
"Label Size","Label Size"
"Default Insurance","Default Insurance"
"Insurance level %1","Insurance level %1"
"Open pickup list on shipping method selection","Open pickup list on shipping method selection"
"Delete label after","Delete label after"
"Delete label from database X day(s) after shipping. Cron must be enabled.","Delete label from database X day(s) after shipping. Cron must be enabled."
