"Manage Categories","Manage Categories"
"Add New Category","Add New Category"
"Save Category","Save Category"
"Save and Continue Edit","Save and Continue Edit"
"Delete Category","Delete Category"
"Edit Category '%1'","Edit Category '%1'"
"New Category","New Category"
"Page Template","Page Template"
Type,Type
"Order By","Order By"
"Number Post Per Page","Number Post Per Page"
"Number Column on Large Desktop","Number Column on Large Desktop"
"Large devices Desktops (≥1200px). Use in grid layout and masonry layout.","Large devices Desktops (≥1200px). Use in grid layout and masonry layout."
"Medium devices Desktops (≥992px)","Medium devices Desktops (≥992px)"
"Number Column on Tablets","Number Column on Tablets"
"Small devices Tablets (≥768px)","Small devices Tablets (≥768px)"
"Extra small devices Phones (<768px)","Extra small devices Phones (<768px)"
"Page Layout","Page Layout"
"Layout Update XML","Layout Update XML"
Design,Design
"Category Information","Category Information"
Name,Name
Identifier,Identifier
"Relative to Web Site Base URL","Relative to Web Site Base URL"
Image,Image
Description,Description
"Store View","Store View"
Position,Position
Status,Status
"Category Status","Category Status"
SEO,SEO
"Canonical URL","Canonical URL"
"The canonical URL that this page should poin to, leave empty to default to category link","The canonical URL that this page should poin to, leave empty to default to category link"
"Page Title","Page Title"
Keywords,Keywords
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
ID,ID
Title,Title
Action,Action
Posts,Posts
"Save Comment","Save Comment"
"Delete Comment","Delete Comment"
"Edit Comment '%1'","Edit Comment '%1'"
"New Post","New Post"
"Comment Information","Comment Information"
Post,Post
"User Name","User Name"
"User Email","User Email"
Content,Content
"Post Information","Post Information"
General,General
"Manage Pots","Manage Pots"
"Add New Post","Add New Post"
"Save Post","Save Post"
"Save and Duplicate","Save and Duplicate"
"Delete Post","Delete Post"
"Edit Post '%1'","Edit Post '%1'"
"Creation Time","Creation Time"
"Short Content","Short Content"
Layout,Layout
"Post Title","Post Title"
"Image Types","Image Types"
"Video Types","Video Types"
"Video ID","Video ID"
"Thumbnail Types","Thumbnail Types"
Category,Category
Tags,Tags
Comma-separated.,Comma-separated.
Hits,Hits
Author,Author
"Enable Comments","Enable Comments"
"Disabling will close the post to new comments","Disabling will close the post to new comments"
"Post Status","Post Status"
"The canonical URL that this page should poin to, leave empty to default to post link","The canonical URL that this page should poin to, leave empty to default to post link"
Comments,Comments
"Posts Related","Posts Related"
"WYSIWYG Editor","WYSIWYG Editor"
"URL Key","URL Key"
"Subscribe to RSS Feed","Subscribe to RSS Feed"
Home,Home
"Go to Home Page","Go to Home Page"
Blog,Blog
"Return to Blog","Return to Blog"
"Tag: %1","Tag: %1"
"The category has been deleted.","The category has been deleted."
"We can't find a category to delete.","We can't find a category to delete."
"This category no longer exists.","This category no longer exists."
"Edit Category","Edit Category"
Categories,Categories
Ves_Blog,Ves_Blog
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"You saved this category.","You saved this category."
"Something went wrong while saving the category.","Something went wrong while saving the category."
"The comment has been deleted.","The comment has been deleted."
"We can't find a comment to delete.","We can't find a comment to delete."
"Manage Comments","Manage Comments"
"This comment no longer exists.","This comment no longer exists."
"The post has been deleted.","The post has been deleted."
"We can't find a post to delete.","We can't find a post to delete."
"Manage Posts","Manage Posts"
